username,review,calificacion
Mario Navarrete,"Buen restaurante, es buffet de ensaladas y carnes; te sirves lo que gustes y van pasando a tu mesa con espadas con diferentes cortes de carne al gusto y la cantidad que gustes. Buen precio, cuenta con ballet parking para que no te agobies por el estacionamiento.",4
Germán Glez,"La barra es muy muy buena, con productos de calidad y un sabor inmejorables para guisos sencillos, la carne de las espadas tiene un excelente sabor, los aromas de la madera con la cual está cocida es muy apetecible, el problema es la carne, está dura",3
Pedro Meza Alonso,Un lugar para los amantes de los cortes delicioso el clericot hecho con vino de la casa y no te olvides de disfrutar la piña con su toque de canela una experiencia deliciosa para tu paladar,4
Ricardo jovanni escamilla herrera,"Se come muy rico, pero el lugar es pequeño para la cantidad de gente que asiste",3
Sandra Rojas,"Se come rico, buen precio, pero muy limitada la carne., muy raro el servicio y hace falta aire acondicionado.",2
Brandonj Yañez,"Un excelente restaurante de estilo brasileño ,muy recomentable para ir a comer ,sirven muy ricos cortes de carne ,y las bebidas y postres son una maravilla",4
sha soto,"Me decepcionó muchísimo, tenía otra expectativa del lugar y al final dejó mucho que desear al igual que la atención por parte de los meseros de los carritos. La carne de las espadas (después del 4to carrito se tardaban demasiado en pasar…",0
gabriela barrios garcia,Muy rico todo e higiénico y es accesible.,4
Karina López Cabrera,Excelente servicio,4
Esmeralda García,Muy salada la carne y algunos cortes como el sillón y la costilla a la barbiquiu estaban crudos,1
Edith Rodriguez,Favorito de toda la familia ,4
Jose Alejandro Contreras,"La comida es buena, pero la picaña estaba dura y pellejuda. Los baños son muy incómodos y nada familiares. El servicio de los meseros es bueno y buscan que estés a gusto en todo momento.",3
jose luis vieyra,Excelente servicio,4
Erick Xochihua,"Excelente lugar... ideal para cualquier ocasión, precios acorde al servicio, se sugiere hacer reservación un día antes o disponer de tiempo... cuenta con servicio de bufete y a la carta.",4
Maria Eugenia Romero,Excelente servicio con todos los protocolos de seguridad ante la pandemia los cortes de carne deliciosos.,4
